text,label
لا توجد إنارة داخل النفق المؤدي للمدرسة,مشكلة واضحة
أعمدة الإنارة في الحديقة لا تعمل,مشكلة واضحة
لا تعليق,مشكلة غير واضحة
لا تعليق,مشكلة غير واضحة
الكهرباء ضعيفة جدًا في فترة المساء,مشكلة واضحة
الناس تعبت,مشكلة غير واضحة
ما عم نعرف شو نعمل,مشكلة غير واضحة
متى بتنحل؟,مشكلة غير واضحة
الطريق المؤدي إلى الحي محفّر ويصعب المرور منه,مشكلة واضحة
لا توجد إنارة داخل النفق المؤدي للمدرسة,مشكلة واضحة
شو هالشي هاد؟,مشكلة غير واضحة
تراكم النفايات بشكل كبير خلف السوق,مشكلة واضحة
ما عاد فينا نتحمل,مشكلة غير واضحة
شارع فرعي يحتاج إلى إعادة تعبيد,مشكلة واضحة
متى بتنحل؟,مشكلة غير واضحة
تسرب مياه صرف صحي بجانب البقالة,مشكلة واضحة
يوجد كسر في أنبوب المياه بجانب المدرسة,مشكلة واضحة
شارع فرعي يحتاج إلى إعادة تعبيد,مشكلة واضحة
أعمدة الإنارة في الحديقة لا تعمل,مشكلة واضحة
يا ريت حدا يسمعنا,مشكلة غير واضحة
متى بتنحل؟,مشكلة غير واضحة
تشقق الطريق العام وظهور حفر متعددة,مشكلة واضحة
انسداد في شبكة الصرف الصحي,مشكلة واضحة
وجود حفرة كبيرة عند مدخل الحي تشكل خطرًا,مشكلة واضحة
كبل كهرباء مكشوف في أحد الأزقة,مشكلة واضحة
شارع فرعي يحتاج إلى إعادة تعبيد,مشكلة واضحة
متى بتنحل؟,مشكلة غير واضحة
وجود مخالفات بناء تسبب ازدحامًا,مشكلة واضحة
المعاناة مستمرة,مشكلة غير واضحة
الكهرباء ضعيفة جدًا في فترة المساء,مشكلة واضحة
تعبنا من هيك حكي,مشكلة غير واضحة
شارع فرعي يحتاج إلى إعادة تعبيد,مشكلة واضحة
الوضع سيء وما حدا عم يرد,مشكلة غير واضحة
وجود مخالفات بناء تسبب ازدحامًا,مشكلة واضحة
ليش هيك عم يصير؟,مشكلة غير واضحة
الطريق المؤدي إلى الحي محفّر ويصعب المرور منه,مشكلة واضحة
إلى متى هذا الاستهتار؟,مشكلة غير واضحة
الناس تعبت,مشكلة غير واضحة
كبل كهرباء مكشوف في أحد الأزقة,مشكلة واضحة
يا ريت حدا يسمعنا,مشكلة غير واضحة
كلو صار فوق بعضو,مشكلة غير واضحة
شو هالحال؟,مشكلة غير واضحة
كتير منزعجين,مشكلة غير واضحة
متى بتنحل؟,مشكلة غير واضحة
المعاناة مستمرة,مشكلة غير واضحة
الإنارة في الشارع مطفأة منذ أسبوع,مشكلة واضحة
ليش هيك عم يصير؟,مشكلة غير واضحة
أعمدة الإنارة في الحديقة لا تعمل,مشكلة واضحة
كلشي خربان,مشكلة غير واضحة
